25600+0 records in
25600+0 records out
104857600 bytes (105 MB) copied, 0.208509 s, 503 MB/s
25600+0 records in
25600+0 records out
104857600 bytes (105 MB) copied, 0.330136 s, 318 MB/s
2015-08-18 22:34:22.972274
100+0 records in
100+0 records out
104857600 bytes (105 MB) copied, 0.332079 s, 316 MB/s
100+0 records in
100+0 records out
104857600 bytes (105 MB) copied, 0.289555 s, 362 MB/s
2015-08-18 22:34:25.551055
w, s, s, 4096, 1, 0, 325.313467
w, s, r, 4096, 1, 0, 310.208828
r, s, s, 4096, 1, 0, 292.767761
r, s, r, 4096, 1, 0, 34.533398
w, s, s, 4096, 1, 0, 344.123957
w, s, r, 4096, 1, 0, 353.820349
r, s, s, 4096, 1, 0, 298.295584
r, s, r, 4096, 1, 0, 34.609099
w, s, s, 1048576, 1, 0, 360.151883
w, s, r, 1048576, 1, 0, 373.159904
r, s, s, 1048576, 1, 0, 295.053068
r, s, r, 1048576, 1, 0, 286.359281
w, s, s, 1048576, 1, 0, 366.499641
w, s, r, 1048576, 1, 0, 350.151270
r, s, s, 1048576, 1, 0, 295.691281
r, s, r, 1048576, 1, 0, 288.619495
w, s, s, 4096, 1, 1, 51.390610
w, s, r, 4096, 1, 1, 51.735353
r, s, s, 4096, 1, 1, 52.261838
r, s, r, 4096, 1, 1, 23.937026
w, s, s, 4096, 1, 1, 52.270670
w, s, r, 4096, 1, 1, 52.707978
r, s, s, 4096, 1, 1, 50.541710
r, s, r, 4096, 1, 1, 23.374423
w, s, s, 1048576, 1, 1, 371.477348
w, s, r, 1048576, 1, 1, 365.975727
r, s, s, 1048576, 1, 1, 328.301668
r, s, r, 1048576, 1, 1, 330.613271
w, s, s, 1048576, 1, 1, 368.388348
w, s, r, 1048576, 1, 1, 363.340984
r, s, s, 1048576, 1, 1, 328.862310
r, s, r, 1048576, 1, 1, 328.896763
r, a, s, 4096, 1, 0, 271.861968
r, a, r, 4096, 1, 0, 32.966759
r, a, s, 4096, 1, 0, 273.577705
r, a, r, 4096, 1, 0, 32.997970
r, a, s, 4096, 15, 0, 283.246618
r, a, r, 4096, 15, 0, 33.303574
r, a, s, 4096, 15, 0, 277.875634
r, a, r, 4096, 15, 0, 33.958503
r, a, s, 4096, 31, 0, 310.603577
r, a, r, 4096, 31, 0, 38.060741
r, a, s, 4096, 31, 0, 315.490143
r, a, r, 4096, 31, 0, 38.119491
r, a, s, 4096, 62, 0, 313.583369
r, a, r, 4096, 62, 0, 37.948286
r, a, s, 4096, 62, 0, 311.179417
r, a, r, 4096, 62, 0, 37.705938
r, a, s, 1048576, 1, 0, 314.697251
r, a, r, 1048576, 1, 0, 305.865132
r, a, s, 1048576, 1, 0, 320.470597
r, a, r, 1048576, 1, 0, 307.358601
r, a, s, 1048576, 15, 0, 316.927993
r, a, r, 1048576, 15, 0, 301.055680
r, a, s, 1048576, 15, 0, 318.068870
r, a, r, 1048576, 15, 0, 304.538222
r, a, s, 1048576, 31, 0, 323.910704
r, a, r, 1048576, 31, 0, 307.862153
r, a, s, 1048576, 31, 0, 322.776688
r, a, r, 1048576, 31, 0, 307.277134
r, a, s, 1048576, 62, 0, 339.626360
r, a, r, 1048576, 62, 0, 306.234510
r, a, s, 1048576, 62, 0, 320.794481
r, a, r, 1048576, 62, 0, 305.149746
r, a, s, 4096, 1, 1, 64.870929
r, a, r, 4096, 1, 1, 37.759589
r, a, s, 4096, 1, 1, 65.170657
r, a, r, 4096, 1, 1, 37.895277
r, a, s, 4096, 15, 1, 223.026770
r, a, r, 4096, 15, 1, 37.813913
r, a, s, 4096, 15, 1, 223.332172
r, a, r, 4096, 15, 1, 37.979990
r, a, s, 4096, 31, 1, 210.769494
r, a, r, 4096, 31, 1, 38.027224
r, a, s, 4096, 31, 1, 216.697901
r, a, r, 4096, 31, 1, 38.042518
r, a, s, 4096, 62, 1, 323.921061
r, a, r, 4096, 62, 1, 37.974330
r, a, s, 4096, 62, 1, 340.824741
r, a, r, 4096, 62, 1, 39.241825
r, a, s, 1048576, 1, 1, 395.439416
r, a, r, 1048576, 1, 1, 324.118793
r, a, s, 1048576, 1, 1, 394.944320
r, a, r, 1048576, 1, 1, 324.406329
r, a, s, 1048576, 15, 1, 480.521161
r, a, r, 1048576, 15, 1, 317.011408
r, a, s, 1048576, 15, 1, 479.325081
r, a, r, 1048576, 15, 1, 313.822918
r, a, s, 1048576, 31, 1, 480.546448
r, a, r, 1048576, 31, 1, 313.704431
r, a, s, 1048576, 31, 1, 479.900634
r, a, r, 1048576, 31, 1, 316.390760
r, a, s, 1048576, 62, 1, 480.807056
r, a, r, 1048576, 62, 1, 317.669112
r, a, s, 1048576, 62, 1, 480.540031
r, a, r, 1048576, 62, 1, 315.536421
