25600+0 records in
25600+0 records out
104857600 bytes (105 MB) copied, 0.214422 s, 489 MB/s
25600+0 records in
25600+0 records out
104857600 bytes (105 MB) copied, 0.397386 s, 264 MB/s
2015-08-15 17:46:21.649590
100+0 records in
100+0 records out
104857600 bytes (105 MB) copied, 0.252264 s, 416 MB/s
100+0 records in
100+0 records out
104857600 bytes (105 MB) copied, 0.308155 s, 340 MB/s
2015-08-15 17:46:24.385510
w, s, s, 4096, 1, 341.860457
w, s, r, 4096, 1, 313.412377
r, s, s, 4096, 1, 285.896151
r, s, r, 4096, 1, 32.968375
w, s, s, 4096, 1, 328.811810
w, s, r, 4096, 1, 336.138534
r, s, s, 4096, 1, 260.221573
r, s, r, 4096, 1, 32.140522
w, s, s, 1048576, 1, 337.449963
w, s, r, 1048576, 1, 333.232495
r, s, s, 1048576, 1, 262.157209
r, s, r, 1048576, 1, 257.269100
w, s, s, 1048576, 1, 330.301728
w, s, r, 1048576, 1, 340.741755
r, s, s, 1048576, 1, 257.491471
r, s, r, 1048576, 1, 261.997183
w, s, s, 4096, 1, 47.112952
w, s, r, 4096, 1, 49.584787
r, s, s, 4096, 1, 48.240575
r, s, r, 4096, 1, 23.139291
w, s, s, 4096, 1, 48.607172
w, s, r, 4096, 1, 49.125233
r, s, s, 4096, 1, 48.245064
r, s, r, 4096, 1, 23.340289
w, s, s, 1048576, 1, 320.029630
w, s, r, 1048576, 1, 319.708582
r, s, s, 1048576, 1, 323.884310
r, s, r, 1048576, 1, 335.496595
w, s, s, 1048576, 1, 324.252124
w, s, r, 1048576, 1, 320.227232
r, s, s, 1048576, 1, 326.852619
r, s, r, 1048576, 1, 318.298094
r, a, s, 4096, 1, 285.604991
r, a, r, 4096, 1, 33.307890
r, a, s, 4096, 1, 279.251557
r, a, r, 4096, 1, 33.492006
r, a, s, 4096, 15, 282.973808
r, a, r, 4096, 15, 34.173979
r, a, s, 4096, 15, 358.178663
r, a, r, 4096, 15, 38.223919
r, a, s, 4096, 31, 334.651975
r, a, r, 4096, 31, 38.462799
r, a, s, 4096, 31, 361.616352
r, a, r, 4096, 31, 38.232036
r, a, s, 4096, 62, 317.832294
r, a, r, 4096, 62, 38.426487
r, a, s, 4096, 62, 319.911977
r, a, r, 4096, 62, 38.135789
r, a, s, 1048576, 1, 363.390461
r, a, r, 1048576, 1, 311.427715
r, a, s, 1048576, 1, 318.250608
r, a, r, 1048576, 1, 310.953031
r, a, s, 1048576, 15, 352.690311
r, a, r, 1048576, 15, 305.652381
r, a, s, 1048576, 15, 408.098978
r, a, r, 1048576, 15, 308.513934
r, a, s, 1048576, 31, 383.943768
r, a, r, 1048576, 31, 309.320059
r, a, s, 1048576, 31, 388.523306
r, a, r, 1048576, 31, 316.421921
r, a, s, 1048576, 62, 350.862991
r, a, r, 1048576, 62, 308.916930
r, a, s, 1048576, 62, 356.421432
r, a, r, 1048576, 62, 305.914570
r, a, s, 4096, 1, 64.104146
r, a, r, 4096, 1, 38.053116
r, a, s, 4096, 1, 60.015459
r, a, r, 4096, 1, 38.005018
r, a, s, 4096, 15, 225.165805
r, a, r, 4096, 15, 38.542990
r, a, s, 4096, 15, 223.890542
r, a, r, 4096, 15, 38.427606
r, a, s, 4096, 31, 239.364695
r, a, r, 4096, 31, 38.293116
r, a, s, 4096, 31, 224.274344
r, a, r, 4096, 31, 38.247594
r, a, s, 4096, 62, 290.895639
r, a, r, 4096, 62, 38.385619
r, a, s, 4096, 62, 320.383666
r, a, r, 4096, 62, 38.126167
r, a, s, 1048576, 1, 393.734396
r, a, r, 1048576, 1, 311.991883
r, a, s, 1048576, 1, 395.957588
r, a, r, 1048576, 1, 313.019359
r, a, s, 1048576, 15, 463.730582
r, a, r, 1048576, 15, 309.797724
r, a, s, 1048576, 15, 464.542333
r, a, r, 1048576, 15, 309.123232
r, a, s, 1048576, 31, 431.630557
r, a, r, 1048576, 31, 309.162772
r, a, s, 1048576, 31, 429.133968
r, a, r, 1048576, 31, 309.362040
r, a, s, 1048576, 62, 461.801236
r, a, r, 1048576, 62, 307.954931
r, a, s, 1048576, 62, 434.689051
r, a, r, 1048576, 62, 305.295319
