25600+0 records in
25600+0 records out
104857600 bytes (105 MB) copied, 0.205893 s, 509 MB/s
25600+0 records in
25600+0 records out
104857600 bytes (105 MB) copied, 0.306167 s, 342 MB/s
100+0 records in
100+0 records out
104857600 bytes (105 MB) copied, 0.281735 s, 372 MB/s
100+0 records in
100+0 records out
104857600 bytes (105 MB) copied, 0.285452 s, 367 MB/s
w, s, s, 4096, 1, 373.200936
w, s, r, 4096, 1, 368.254104
r, s, s, 4096, 1, 325.054832
r, s, r, 4096, 1, 38.289244
w, s, s, 4096, 1, 362.363791
w, s, r, 4096, 1, 366.360856
r, s, s, 4096, 1, 318.607033
r, s, r, 4096, 1, 38.245968
w, s, s, 1048576, 1, 368.252292
w, s, r, 1048576, 1, 384.584623
r, s, s, 1048576, 1, 328.358571
r, s, r, 1048576, 1, 318.978419
w, s, s, 1048576, 1, 376.714356
w, s, r, 1048576, 1, 387.506712
r, s, s, 1048576, 1, 323.064588
r, s, r, 1048576, 1, 317.892143
w, s, s, 4096, 1, 56.015428
w, s, r, 4096, 1, 56.521236
r, s, s, 4096, 1, 58.098483
r, s, r, 4096, 1, 26.061108
w, s, s, 4096, 1, 57.564294
w, s, r, 4096, 1, 57.347083
r, s, s, 4096, 1, 58.145408
r, s, r, 4096, 1, 25.530901
w, s, s, 1048576, 1, 407.076158
w, s, r, 1048576, 1, 404.293882
r, s, s, 1048576, 1, 384.981189
r, s, r, 1048576, 1, 381.603981
w, s, s, 1048576, 1, 407.159778
w, s, r, 1048576, 1, 410.478214
r, s, s, 1048576, 1, 384.912185
r, s, r, 1048576, 1, 383.411953
r, a, s, 4096, 1, 330.407639
r, a, r, 4096, 1, 37.995272
r, a, s, 4096, 1, 328.312643
r, a, r, 4096, 1, 37.658043
r, a, s, 4096, 15, 318.465875
r, a, r, 4096, 15, 38.215279
r, a, s, 4096, 15, 338.451795
r, a, r, 4096, 15, 38.137754
r, a, s, 4096, 31, 329.464215
r, a, r, 4096, 31, 38.171530
r, a, s, 4096, 31, 327.878977
r, a, r, 4096, 31, 38.141822
r, a, s, 4096, 62, 326.651151
r, a, r, 4096, 62, 38.241819
r, a, s, 4096, 62, 348.047453
r, a, r, 4096, 62, 38.192966
r, a, s, 1048576, 1, 327.140505
r, a, r, 1048576, 1, 317.421037
r, a, s, 1048576, 1, 324.983769
r, a, r, 1048576, 1, 317.666695
r, a, s, 1048576, 15, 324.934284
r, a, r, 1048576, 15, 310.345416
r, a, s, 1048576, 15, 340.826866
r, a, r, 1048576, 15, 306.079021
r, a, s, 1048576, 31, 341.626333
r, a, r, 1048576, 31, 306.908417
r, a, s, 1048576, 31, 363.753969
r, a, r, 1048576, 31, 309.025377
r, a, s, 1048576, 62, 351.088590
r, a, r, 1048576, 62, 304.760774
r, a, s, 1048576, 62, 362.517665
r, a, r, 1048576, 62, 306.014376
r, a, s, 4096, 1, 64.705255
r, a, r, 4096, 1, 37.822166
r, a, s, 4096, 1, 63.589202
r, a, r, 4096, 1, 38.081996
r, a, s, 4096, 15, 223.077134
r, a, r, 4096, 15, 37.954917
r, a, s, 4096, 15, 206.877158
r, a, r, 4096, 15, 38.268508
r, a, s, 4096, 31, 328.228569
r, a, r, 4096, 31, 38.093714
r, a, s, 4096, 31, 227.364495
r, a, r, 4096, 31, 38.114790
r, a, s, 4096, 62, 323.158723
r, a, r, 4096, 62, 37.873790
r, a, s, 4096, 62, 307.546855
r, a, r, 4096, 62, 38.128660
r, a, s, 1048576, 1, 393.234095
r, a, r, 1048576, 1, 314.929054
r, a, s, 1048576, 1, 391.953190
r, a, r, 1048576, 1, 314.402538
r, a, s, 1048576, 15, 469.499700
r, a, r, 1048576, 15, 308.594438
r, a, s, 1048576, 15, 469.930920
r, a, r, 1048576, 15, 309.625840
r, a, s, 1048576, 31, 471.673938
r, a, r, 1048576, 31, 308.866724
r, a, s, 1048576, 31, 468.475327
r, a, r, 1048576, 31, 307.506547
r, a, s, 1048576, 62, 468.172879
r, a, r, 1048576, 62, 307.985617
r, a, s, 1048576, 62, 467.462846
r, a, r, 1048576, 62, 308.280440
