25600+0 records in
25600+0 records out
104857600 bytes (105 MB) copied, 0.211181 s, 497 MB/s
25600+0 records in
25600+0 records out
104857600 bytes (105 MB) copied, 0.35779 s, 293 MB/s
2015-08-01 09:26:16.324143
100+0 records in
100+0 records out
104857600 bytes (105 MB) copied, 0.319863 s, 328 MB/s
100+0 records in
100+0 records out
104857600 bytes (105 MB) copied, 0.287826 s, 364 MB/s
2015-08-01 09:26:18.945822
w, s, s, 4096, 1, 342.968730
w, s, r, 4096, 1, 362.354224
r, s, s, 4096, 1, 296.265830
r, s, r, 4096, 1, 32.879135
w, s, s, 4096, 1, 321.165818
w, s, r, 4096, 1, 367.550989
r, s, s, 4096, 1, 308.916355
r, s, r, 4096, 1, 32.912002
w, s, s, 1048576, 1, 366.329329
w, s, r, 1048576, 1, 355.226989
r, s, s, 1048576, 1, 289.887838
r, s, r, 1048576, 1, 274.636022
w, s, s, 1048576, 1, 376.485410
w, s, r, 1048576, 1, 392.161326
r, s, s, 1048576, 1, 290.477243
r, s, r, 1048576, 1, 287.334831
w, s, s, 4096, 1, 47.339293
w, s, r, 4096, 1, 48.634502
r, s, s, 4096, 1, 47.043078
r, s, r, 4096, 1, 22.504946
w, s, s, 4096, 1, 48.510911
w, s, r, 4096, 1, 48.530498
r, s, s, 4096, 1, 47.628782
r, s, r, 4096, 1, 22.484547
w, s, s, 1048576, 1, 351.789365
w, s, r, 1048576, 1, 354.480290
r, s, s, 1048576, 1, 333.735581
r, s, r, 1048576, 1, 333.227578
w, s, s, 1048576, 1, 355.106475
w, s, r, 1048576, 1, 356.289985
r, s, s, 1048576, 1, 333.383203
r, s, r, 1048576, 1, 338.287812
r, a, s, 4096, 1, 295.471505
r, a, r, 4096, 1, 32.426479
r, a, s, 4096, 1, 296.471053
r, a, r, 4096, 1, 32.681508
r, a, s, 4096, 15, 294.756125
r, a, r, 4096, 15, 32.019014
r, a, s, 4096, 15, 266.758206
r, a, r, 4096, 15, 35.072026
r, a, s, 4096, 31, 316.142915
r, a, r, 4096, 31, 36.797325
r, a, s, 4096, 31, 432.514376
r, a, r, 4096, 31, 37.172760
r, a, s, 4096, 62, 383.815903
r, a, r, 4096, 62, 36.979430
r, a, s, 4096, 62, 405.611079
r, a, r, 4096, 62, 37.434829
r, a, s, 1048576, 1, 376.454244
r, a, r, 1048576, 1, 315.537775
r, a, s, 1048576, 1, 361.579717
r, a, r, 1048576, 1, 321.806520
r, a, s, 1048576, 15, 395.990495
r, a, r, 1048576, 15, 314.668013
r, a, s, 1048576, 15, 422.093922
r, a, r, 1048576, 15, 314.380669
r, a, s, 1048576, 31, 409.973255
r, a, r, 1048576, 31, 313.318666
r, a, s, 1048576, 31, 403.770044
r, a, r, 1048576, 31, 315.793739
r, a, s, 1048576, 62, 406.978584
r, a, r, 1048576, 62, 315.240451
r, a, s, 1048576, 62, 383.175604
r, a, r, 1048576, 62, 315.345747
r, a, s, 4096, 1, 62.898798
r, a, r, 4096, 1, 37.160159
r, a, s, 4096, 1, 63.682979
r, a, r, 4096, 1, 37.176406
r, a, s, 4096, 15, 227.798747
r, a, r, 4096, 15, 37.297686
r, a, s, 4096, 15, 261.003759
r, a, r, 4096, 15, 37.385119
r, a, s, 4096, 31, 249.930076
r, a, r, 4096, 31, 37.382279
r, a, s, 4096, 31, 224.735630
r, a, r, 4096, 31, 37.162720
r, a, s, 4096, 62, 317.346510
r, a, r, 4096, 62, 37.335276
r, a, s, 4096, 62, 306.062709
r, a, r, 4096, 62, 37.298381
r, a, s, 1048576, 1, 390.419805
r, a, r, 1048576, 1, 321.326855
r, a, s, 1048576, 1, 389.504543
r, a, r, 1048576, 1, 319.385645
r, a, s, 1048576, 15, 476.560880
r, a, r, 1048576, 15, 315.363858
r, a, s, 1048576, 15, 477.125293
r, a, r, 1048576, 15, 310.456900
r, a, s, 1048576, 31, 472.150483
r, a, r, 1048576, 31, 309.782016
r, a, s, 1048576, 31, 472.714810
r, a, r, 1048576, 31, 312.021397
r, a, s, 1048576, 62, 474.663878
r, a, r, 1048576, 62, 314.399652
r, a, s, 1048576, 62, 473.921431
r, a, r, 1048576, 62, 313.728428
