25600+0 records in
25600+0 records out
104857600 bytes (105 MB) copied, 0.208103 s, 504 MB/s
25600+0 records in
25600+0 records out
104857600 bytes (105 MB) copied, 0.328631 s, 319 MB/s
2015-08-18 22:34:22.918898
100+0 records in
100+0 records out
104857600 bytes (105 MB) copied, 0.312975 s, 335 MB/s
100+0 records in
100+0 records out
104857600 bytes (105 MB) copied, 0.272784 s, 384 MB/s
2015-08-18 22:34:25.492090
w, s, s, 4096, 1, 0, 349.669857
w, s, r, 4096, 1, 0, 340.308899
r, s, s, 4096, 1, 0, 315.702272
r, s, r, 4096, 1, 0, 36.928206
w, s, s, 4096, 1, 0, 368.028980
w, s, r, 4096, 1, 0, 376.249782
r, s, s, 4096, 1, 0, 315.200982
r, s, r, 4096, 1, 0, 36.663065
w, s, s, 1048576, 1, 0, 377.454241
w, s, r, 1048576, 1, 0, 369.192367
r, s, s, 1048576, 1, 0, 319.771356
r, s, r, 1048576, 1, 0, 311.531509
w, s, s, 1048576, 1, 0, 385.214858
w, s, r, 1048576, 1, 0, 368.313748
r, s, s, 1048576, 1, 0, 309.861082
r, s, r, 1048576, 1, 0, 301.060586
w, s, s, 4096, 1, 1, 53.622927
w, s, r, 4096, 1, 1, 55.090516
r, s, s, 4096, 1, 1, 54.775327
r, s, r, 4096, 1, 1, 25.134605
w, s, s, 4096, 1, 1, 54.521558
w, s, r, 4096, 1, 1, 54.731524
r, s, s, 4096, 1, 1, 55.092929
r, s, r, 4096, 1, 1, 24.859454
w, s, s, 1048576, 1, 1, 388.204498
w, s, r, 1048576, 1, 1, 387.530125
r, s, s, 1048576, 1, 1, 364.755408
r, s, r, 1048576, 1, 1, 368.944680
w, s, s, 1048576, 1, 1, 387.098946
w, s, r, 1048576, 1, 1, 392.969381
r, s, s, 1048576, 1, 1, 370.639995
r, s, r, 1048576, 1, 1, 369.956443
r, a, s, 4096, 1, 0, 305.261636
r, a, r, 4096, 1, 0, 35.929861
r, a, s, 4096, 1, 0, 311.162906
r, a, r, 4096, 1, 0, 36.134235
r, a, s, 4096, 15, 0, 311.330667
r, a, r, 4096, 15, 0, 35.693926
r, a, s, 4096, 15, 0, 308.732095
r, a, r, 4096, 15, 0, 36.621279
r, a, s, 4096, 31, 0, 313.400607
r, a, r, 4096, 31, 0, 36.597815
r, a, s, 4096, 31, 0, 311.213319
r, a, r, 4096, 31, 0, 36.906405
r, a, s, 4096, 62, 0, 312.959989
r, a, r, 4096, 62, 0, 36.961926
r, a, s, 4096, 62, 0, 312.541129
r, a, r, 4096, 62, 0, 37.016174
r, a, s, 1048576, 1, 0, 319.936918
r, a, r, 1048576, 1, 0, 311.569051
r, a, s, 1048576, 1, 0, 318.351846
r, a, r, 1048576, 1, 0, 308.803493
r, a, s, 1048576, 15, 0, 318.327969
r, a, r, 1048576, 15, 0, 304.504799
r, a, s, 1048576, 15, 0, 316.776220
r, a, r, 1048576, 15, 0, 305.595363
r, a, s, 1048576, 31, 0, 321.884673
r, a, r, 1048576, 31, 0, 305.804511
r, a, s, 1048576, 31, 0, 323.433963
r, a, r, 1048576, 31, 0, 305.056718
r, a, s, 1048576, 62, 0, 316.509567
r, a, r, 1048576, 62, 0, 307.257111
r, a, s, 1048576, 62, 0, 317.020964
r, a, r, 1048576, 62, 0, 306.846090
r, a, s, 4096, 1, 1, 61.854956
r, a, r, 4096, 1, 1, 36.492990
r, a, s, 4096, 1, 1, 64.092647
r, a, r, 4096, 1, 1, 36.686894
r, a, s, 4096, 15, 1, 226.482119
r, a, r, 4096, 15, 1, 36.792032
r, a, s, 4096, 15, 1, 214.477162
r, a, r, 4096, 15, 1, 36.812144
r, a, s, 4096, 31, 1, 213.540931
r, a, r, 4096, 31, 1, 36.845676
r, a, s, 4096, 31, 1, 305.078761
r, a, r, 4096, 31, 1, 36.895652
r, a, s, 4096, 62, 1, 314.735280
r, a, r, 4096, 62, 1, 37.008517
r, a, s, 4096, 62, 1, 316.301367
r, a, r, 4096, 62, 1, 39.612344
r, a, s, 1048576, 1, 1, 401.292206
r, a, r, 1048576, 1, 1, 332.310951
r, a, s, 1048576, 1, 1, 401.610941
r, a, r, 1048576, 1, 1, 332.867514
r, a, s, 1048576, 15, 1, 480.765069
r, a, r, 1048576, 15, 1, 328.379723
r, a, s, 1048576, 15, 1, 480.034410
r, a, r, 1048576, 15, 1, 328.586948
r, a, s, 1048576, 31, 1, 479.773916
r, a, r, 1048576, 31, 1, 328.955051
r, a, s, 1048576, 31, 1, 480.364844
r, a, r, 1048576, 31, 1, 328.758565
r, a, s, 1048576, 62, 1, 479.507401
r, a, r, 1048576, 62, 1, 327.388902
r, a, s, 1048576, 62, 1, 479.598717
r, a, r, 1048576, 62, 1, 327.670927
