25600+0 records in
25600+0 records out
104857600 bytes (105 MB) copied, 0.212312 s, 494 MB/s
25600+0 records in
25600+0 records out
104857600 bytes (105 MB) copied, 0.460714 s, 228 MB/s
2015-08-03 07:29:17.712543
100+0 records in
100+0 records out
104857600 bytes (105 MB) copied, 0.260069 s, 403 MB/s
100+0 records in
100+0 records out
104857600 bytes (105 MB) copied, 0.314437 s, 333 MB/s
2015-08-03 07:29:20.438383
w, s, s, 4096, 1, 339.883880
w, s, r, 4096, 1, 313.470487
r, s, s, 4096, 1, 279.903933
r, s, r, 4096, 1, 33.183979
w, s, s, 4096, 1, 310.962478
w, s, r, 4096, 1, 321.312254
r, s, s, 4096, 1, 301.742057
r, s, r, 4096, 1, 33.297649
w, s, s, 1048576, 1, 318.136364
w, s, r, 1048576, 1, 335.890268
r, s, s, 1048576, 1, 297.183510
r, s, r, 1048576, 1, 271.001627
w, s, s, 1048576, 1, 345.211621
w, s, r, 1048576, 1, 332.619053
r, s, s, 1048576, 1, 282.702373
r, s, r, 1048576, 1, 271.839173
w, s, s, 4096, 1, 46.632502
w, s, r, 4096, 1, 48.258045
r, s, s, 4096, 1, 47.899791
r, s, r, 4096, 1, 23.249837
w, s, s, 4096, 1, 48.646656
w, s, r, 4096, 1, 47.685558
r, s, s, 4096, 1, 47.549737
r, s, r, 4096, 1, 22.896108
w, s, s, 1048576, 1, 322.080146
w, s, r, 1048576, 1, 321.660131
r, s, s, 1048576, 1, 322.968813
r, s, r, 1048576, 1, 323.271890
w, s, s, 1048576, 1, 319.965023
w, s, r, 1048576, 1, 328.361108
r, s, s, 1048576, 1, 326.111762
r, s, r, 1048576, 1, 326.679655
r, a, s, 4096, 1, 294.499535
r, a, r, 4096, 1, 33.011377
r, a, s, 4096, 1, 287.986488
r, a, r, 4096, 1, 33.183045
r, a, s, 4096, 15, 287.525903
r, a, r, 4096, 15, 31.535993
r, a, s, 4096, 15, 309.248635
r, a, r, 4096, 15, 36.161604
r, a, s, 4096, 31, 399.976514
r, a, r, 4096, 31, 37.923396
r, a, s, 4096, 31, 388.307425
r, a, r, 4096, 31, 37.780439
r, a, s, 4096, 62, 387.880515
r, a, r, 4096, 62, 38.032165
r, a, s, 4096, 62, 392.199775
r, a, r, 4096, 62, 38.050112
r, a, s, 1048576, 1, 398.038503
r, a, r, 1048576, 1, 313.120876
r, a, s, 1048576, 1, 388.887700
r, a, r, 1048576, 1, 310.117136
r, a, s, 1048576, 15, 425.096897
r, a, r, 1048576, 15, 309.026244
r, a, s, 1048576, 15, 420.575673
r, a, r, 1048576, 15, 310.006457
r, a, s, 1048576, 31, 423.040705
r, a, r, 1048576, 31, 314.161849
r, a, s, 1048576, 31, 417.042678
r, a, r, 1048576, 31, 306.798955
r, a, s, 1048576, 62, 404.886127
r, a, r, 1048576, 62, 307.148776
r, a, s, 1048576, 62, 408.382923
r, a, r, 1048576, 62, 305.815659
r, a, s, 4096, 1, 61.507553
r, a, r, 4096, 1, 37.795582
r, a, s, 4096, 1, 60.573030
r, a, r, 4096, 1, 37.653922
r, a, s, 4096, 15, 240.517634
r, a, r, 4096, 15, 37.982004
r, a, s, 4096, 15, 218.319058
r, a, r, 4096, 15, 37.634538
r, a, s, 4096, 31, 246.788214
r, a, r, 4096, 31, 37.844237
r, a, s, 4096, 31, 240.079704
r, a, r, 4096, 31, 37.660831
r, a, s, 4096, 62, 326.189028
r, a, r, 4096, 62, 38.031207
r, a, s, 4096, 62, 306.556556
r, a, r, 4096, 62, 37.983229
r, a, s, 1048576, 1, 389.219658
r, a, r, 1048576, 1, 308.869303
r, a, s, 1048576, 1, 396.707125
r, a, r, 1048576, 1, 309.058987
r, a, s, 1048576, 15, 463.454013
r, a, r, 1048576, 15, 305.673342
r, a, s, 1048576, 15, 465.157046
r, a, r, 1048576, 15, 303.673110
r, a, s, 1048576, 31, 425.189645
r, a, r, 1048576, 31, 304.363067
r, a, s, 1048576, 31, 422.764783
r, a, r, 1048576, 31, 304.764818
r, a, s, 1048576, 62, 426.276034
r, a, r, 1048576, 62, 306.046591
r, a, s, 1048576, 62, 426.069919
r, a, r, 1048576, 62, 301.451913
