25600+0 records in
25600+0 records out
104857600 bytes (105 MB) copied, 0.206516 s, 508 MB/s
25600+0 records in
25600+0 records out
104857600 bytes (105 MB) copied, 0.310541 s, 338 MB/s
100+0 records in
100+0 records out
104857600 bytes (105 MB) copied, 0.268797 s, 390 MB/s
100+0 records in
100+0 records out
104857600 bytes (105 MB) copied, 0.276785 s, 379 MB/s
w, s, s, 4096, 1, 368.584602
w, s, r, 4096, 1, 362.810816
r, s, s, 4096, 1, 325.578000
r, s, r, 4096, 1, 37.800882
w, s, s, 4096, 1, 353.146079
w, s, r, 4096, 1, 369.919784
r, s, s, 4096, 1, 325.271196
r, s, r, 4096, 1, 37.915402
w, s, s, 1048576, 1, 360.888753
w, s, r, 1048576, 1, 369.598457
r, s, s, 1048576, 1, 326.302612
r, s, r, 1048576, 1, 318.431665
w, s, s, 1048576, 1, 373.161297
w, s, r, 1048576, 1, 383.225635
r, s, s, 1048576, 1, 321.432286
r, s, r, 1048576, 1, 314.194929
w, s, s, 4096, 1, 53.929835
w, s, r, 4096, 1, 55.297565
r, s, s, 4096, 1, 57.436882
r, s, r, 4096, 1, 25.522856
w, s, s, 4096, 1, 55.870299
w, s, r, 4096, 1, 55.395780
r, s, s, 4096, 1, 57.568413
r, s, r, 4096, 1, 25.786770
w, s, s, 1048576, 1, 405.796927
w, s, r, 1048576, 1, 407.704202
r, s, s, 1048576, 1, 391.636372
r, s, r, 1048576, 1, 386.505403
w, s, s, 1048576, 1, 406.010530
w, s, r, 1048576, 1, 406.899749
r, s, s, 1048576, 1, 390.571776
r, s, r, 1048576, 1, 384.291132
r, a, s, 4096, 1, 324.405849
r, a, r, 4096, 1, 37.450664
r, a, s, 4096, 1, 322.459627
r, a, r, 4096, 1, 37.424023
r, a, s, 4096, 15, 325.001107
r, a, r, 4096, 15, 37.695089
r, a, s, 4096, 15, 324.402791
r, a, r, 4096, 15, 37.807075
r, a, s, 4096, 31, 347.223098
r, a, r, 4096, 31, 37.661781
r, a, s, 4096, 31, 325.732894
r, a, r, 4096, 31, 37.426068
r, a, s, 4096, 62, 339.726040
r, a, r, 4096, 62, 37.662905
r, a, s, 4096, 62, 319.039425
r, a, r, 4096, 62, 37.821221
r, a, s, 1048576, 1, 328.823890
r, a, r, 1048576, 1, 318.091775
r, a, s, 1048576, 1, 326.886552
r, a, r, 1048576, 1, 316.538852
r, a, s, 1048576, 15, 351.382048
r, a, r, 1048576, 15, 311.080084
r, a, s, 1048576, 15, 361.178574
r, a, r, 1048576, 15, 309.826451
r, a, s, 1048576, 31, 374.717569
r, a, r, 1048576, 31, 309.032587
r, a, s, 1048576, 31, 369.092147
r, a, r, 1048576, 31, 307.081405
r, a, s, 1048576, 62, 370.982825
r, a, r, 1048576, 62, 309.032359
r, a, s, 1048576, 62, 377.953150
r, a, r, 1048576, 62, 308.724221
r, a, s, 4096, 1, 61.175889
r, a, r, 4096, 1, 37.565435
r, a, s, 4096, 1, 59.435986
r, a, r, 4096, 1, 37.541104
r, a, s, 4096, 15, 207.222483
r, a, r, 4096, 15, 37.946564
r, a, s, 4096, 15, 188.863906
r, a, r, 4096, 15, 37.701345
r, a, s, 4096, 31, 225.671449
r, a, r, 4096, 31, 37.636846
r, a, s, 4096, 31, 228.236361
r, a, r, 4096, 31, 37.549719
r, a, s, 4096, 62, 334.580945
r, a, r, 4096, 62, 37.847621
r, a, s, 4096, 62, 330.359914
r, a, r, 4096, 62, 37.764241
r, a, s, 1048576, 1, 395.726656
r, a, r, 1048576, 1, 315.037728
r, a, s, 1048576, 1, 393.855097
r, a, r, 1048576, 1, 316.447076
r, a, s, 1048576, 15, 477.208293
r, a, r, 1048576, 15, 312.704228
r, a, s, 1048576, 15, 476.178528
r, a, r, 1048576, 15, 311.717739
r, a, s, 1048576, 31, 470.669808
r, a, r, 1048576, 31, 308.452755
r, a, s, 1048576, 31, 471.551277
r, a, r, 1048576, 31, 308.774977
r, a, s, 1048576, 62, 474.243136
r, a, r, 1048576, 62, 309.890622
r, a, s, 1048576, 62, 474.428873
r, a, r, 1048576, 62, 306.958939
