25600+0 records in
25600+0 records out
104857600 bytes (105 MB) copied, 0.41612 s, 252 MB/s
25600+0 records in
25600+0 records out
104857600 bytes (105 MB) copied, 0.459329 s, 228 MB/s
2015-08-17 07:38:31.150947
100+0 records in
100+0 records out
104857600 bytes (105 MB) copied, 0.502962 s, 208 MB/s
100+0 records in
100+0 records out
104857600 bytes (105 MB) copied, 0.353125 s, 297 MB/s
2015-08-17 07:38:34.185853
w, s, s, 4096, 1, 0, 351.076966
w, s, r, 4096, 1, 0, 345.762523
r, s, s, 4096, 1, 0, 324.170990
r, s, r, 4096, 1, 0, 32.232066
w, s, s, 4096, 1, 0, 322.727717
w, s, r, 4096, 1, 0, 334.502574
r, s, s, 4096, 1, 0, 317.321720
r, s, r, 4096, 1, 0, 32.191369
w, s, s, 1048576, 1, 0, 334.646683
w, s, r, 1048576, 1, 0, 300.981251
r, s, s, 1048576, 1, 0, 321.207001
r, s, r, 1048576, 1, 0, 250.986697
w, s, s, 1048576, 1, 0, 309.787547
w, s, r, 1048576, 1, 0, 325.922874
r, s, s, 1048576, 1, 0, 334.464145
r, s, r, 1048576, 1, 0, 252.411704
w, s, s, 4096, 1, 1, 43.656574
w, s, r, 4096, 1, 1, 45.187384
r, s, s, 4096, 1, 1, 43.712543
r, s, r, 4096, 1, 1, 22.326150
w, s, s, 4096, 1, 1, 44.687902
w, s, r, 4096, 1, 1, 44.520905
r, s, s, 4096, 1, 1, 44.658012
r, s, r, 4096, 1, 1, 22.265495
w, s, s, 1048576, 1, 1, 333.647512
w, s, r, 1048576, 1, 1, 341.370165
r, s, s, 1048576, 1, 1, 341.216613
r, s, r, 1048576, 1, 1, 342.100468
w, s, s, 1048576, 1, 1, 350.006533
w, s, r, 1048576, 1, 1, 345.684226
r, s, s, 1048576, 1, 1, 346.161777
r, s, r, 1048576, 1, 1, 344.079098
r, a, s, 4096, 1, 0, 279.783327
r, a, r, 4096, 1, 0, 31.794326
r, a, s, 4096, 1, 0, 337.493651
r, a, r, 4096, 1, 0, 31.894460
r, a, s, 4096, 15, 0, 325.953197
r, a, r, 4096, 15, 0, 33.743824
r, a, s, 4096, 15, 0, 394.524886
r, a, r, 4096, 15, 0, 36.585622
r, a, s, 4096, 31, 0, 363.253917
r, a, r, 4096, 31, 0, 36.450201
r, a, s, 4096, 31, 0, 390.599454
r, a, r, 4096, 31, 0, 36.824029
r, a, s, 4096, 62, 0, 347.194959
r, a, r, 4096, 62, 0, 36.550495
r, a, s, 4096, 62, 0, 383.747969
r, a, r, 4096, 62, 0, 36.489055
r, a, s, 1048576, 1, 0, 398.851703
r, a, r, 1048576, 1, 0, 289.082113
r, a, s, 1048576, 1, 0, 340.067313
r, a, r, 1048576, 1, 0, 282.500619
r, a, s, 1048576, 15, 0, 402.016292
r, a, r, 1048576, 15, 0, 280.327771
r, a, s, 1048576, 15, 0, 345.645872
r, a, r, 1048576, 15, 0, 281.867568
r, a, s, 1048576, 31, 0, 366.099868
r, a, r, 1048576, 31, 0, 277.655349
r, a, s, 1048576, 31, 0, 353.786023
r, a, r, 1048576, 31, 0, 280.084836
r, a, s, 1048576, 62, 0, 403.923068
r, a, r, 1048576, 62, 0, 278.451902
r, a, s, 1048576, 62, 0, 371.684472
r, a, r, 1048576, 62, 0, 279.405670
r, a, s, 4096, 1, 1, 59.512448
r, a, r, 4096, 1, 1, 36.399051
r, a, s, 4096, 1, 1, 59.219233
r, a, r, 4096, 1, 1, 36.533328
r, a, s, 4096, 15, 1, 165.046146
r, a, r, 4096, 15, 1, 36.133314
r, a, s, 4096, 15, 1, 168.421244
r, a, r, 4096, 15, 1, 37.036867
r, a, s, 4096, 31, 1, 223.293498
r, a, r, 4096, 31, 1, 36.725069
r, a, s, 4096, 31, 1, 218.863132
r, a, r, 4096, 31, 1, 36.653106
r, a, s, 4096, 62, 1, 332.467887
r, a, r, 4096, 62, 1, 36.384084
r, a, s, 4096, 62, 1, 332.207893
r, a, r, 4096, 62, 1, 36.666938
r, a, s, 1048576, 1, 1, 393.375918
r, a, r, 1048576, 1, 1, 280.409373
r, a, s, 1048576, 1, 1, 394.128286
r, a, r, 1048576, 1, 1, 288.895687
r, a, s, 1048576, 15, 1, 469.285067
r, a, r, 1048576, 15, 1, 285.569524
r, a, s, 1048576, 15, 1, 467.231539
r, a, r, 1048576, 15, 1, 279.312278
r, a, s, 1048576, 31, 1, 451.300391
r, a, r, 1048576, 31, 1, 281.534879
r, a, s, 1048576, 31, 1, 331.263551
r, a, r, 1048576, 31, 1, 276.894362
r, a, s, 1048576, 62, 1, 451.944942
r, a, r, 1048576, 62, 1, 277.466709
r, a, s, 1048576, 62, 1, 315.309776
r, a, r, 1048576, 62, 1, 274.521109
