25600+0 records in
25600+0 records out
104857600 bytes (105 MB) copied, 0.211782 s, 495 MB/s
25600+0 records in
25600+0 records out
104857600 bytes (105 MB) copied, 0.365594 s, 287 MB/s
2015-08-17 07:38:31.359062
100+0 records in
100+0 records out
104857600 bytes (105 MB) copied, 0.299795 s, 350 MB/s
100+0 records in
100+0 records out
104857600 bytes (105 MB) copied, 0.306386 s, 342 MB/s
2015-08-17 07:38:34.088824
w, s, s, 4096, 1, 0, 323.498567
w, s, r, 4096, 1, 0, 336.185253
r, s, s, 4096, 1, 0, 293.713931
r, s, r, 4096, 1, 0, 33.127917
w, s, s, 4096, 1, 0, 327.665926
w, s, r, 4096, 1, 0, 338.969240
r, s, s, 4096, 1, 0, 298.677742
r, s, r, 4096, 1, 0, 32.462294
w, s, s, 1048576, 1, 0, 341.018834
w, s, r, 1048576, 1, 0, 352.322572
r, s, s, 1048576, 1, 0, 258.900154
r, s, r, 1048576, 1, 0, 256.703542
w, s, s, 1048576, 1, 0, 330.064317
w, s, r, 1048576, 1, 0, 346.194331
r, s, s, 1048576, 1, 0, 272.874851
r, s, r, 1048576, 1, 0, 258.401683
w, s, s, 4096, 1, 1, 46.932155
w, s, r, 4096, 1, 1, 47.332516
r, s, s, 4096, 1, 1, 46.658598
r, s, r, 4096, 1, 1, 22.885643
w, s, s, 4096, 1, 1, 48.471980
w, s, r, 4096, 1, 1, 47.535812
r, s, s, 4096, 1, 1, 47.338395
r, s, r, 4096, 1, 1, 22.866386
w, s, s, 1048576, 1, 1, 329.101682
w, s, r, 1048576, 1, 1, 323.949571
r, s, s, 1048576, 1, 1, 325.203422
r, s, r, 1048576, 1, 1, 325.638181
w, s, s, 1048576, 1, 1, 328.542986
w, s, r, 1048576, 1, 1, 322.983297
r, s, s, 1048576, 1, 1, 319.777656
r, s, r, 1048576, 1, 1, 324.927590
r, a, s, 4096, 1, 0, 286.519063
r, a, r, 4096, 1, 0, 33.204007
r, a, s, 4096, 1, 0, 286.050500
r, a, r, 4096, 1, 0, 33.044269
r, a, s, 4096, 15, 0, 289.450760
r, a, r, 4096, 15, 0, 33.783721
r, a, s, 4096, 15, 0, 381.790016
r, a, r, 4096, 15, 0, 38.101744
r, a, s, 4096, 31, 0, 386.967169
r, a, r, 4096, 31, 0, 37.860931
r, a, s, 4096, 31, 0, 411.806725
r, a, r, 4096, 31, 0, 37.773362
r, a, s, 4096, 62, 0, 375.165481
r, a, r, 4096, 62, 0, 38.043327
r, a, s, 4096, 62, 0, 371.382629
r, a, r, 4096, 62, 0, 37.872487
r, a, s, 1048576, 1, 0, 386.040632
r, a, r, 1048576, 1, 0, 314.535012
r, a, s, 1048576, 1, 0, 401.028156
r, a, r, 1048576, 1, 0, 311.928807
r, a, s, 1048576, 15, 0, 426.585538
r, a, r, 1048576, 15, 0, 302.083588
r, a, s, 1048576, 15, 0, 412.021954
r, a, r, 1048576, 15, 0, 305.195873
r, a, s, 1048576, 31, 0, 418.580404
r, a, r, 1048576, 31, 0, 304.154236
r, a, s, 1048576, 31, 0, 415.344754
r, a, r, 1048576, 31, 0, 304.669780
r, a, s, 1048576, 62, 0, 424.414226
r, a, r, 1048576, 62, 0, 303.272769
r, a, s, 1048576, 62, 0, 416.013332
r, a, r, 1048576, 62, 0, 301.411148
r, a, s, 4096, 1, 1, 59.529780
r, a, r, 4096, 1, 1, 37.426395
r, a, s, 4096, 1, 1, 56.750839
r, a, r, 4096, 1, 1, 37.465940
r, a, s, 4096, 15, 1, 214.722208
r, a, r, 4096, 15, 1, 38.002246
r, a, s, 4096, 15, 1, 210.922650
r, a, r, 4096, 15, 1, 37.835196
r, a, s, 4096, 31, 1, 236.344146
r, a, r, 4096, 31, 1, 38.073912
r, a, s, 4096, 31, 1, 219.869449
r, a, r, 4096, 31, 1, 38.347209
r, a, s, 4096, 62, 1, 316.822970
r, a, r, 4096, 62, 1, 38.230104
r, a, s, 4096, 62, 1, 326.159591
r, a, r, 4096, 62, 1, 38.257653
r, a, s, 1048576, 1, 1, 387.368995
r, a, r, 1048576, 1, 1, 306.824122
r, a, s, 1048576, 1, 1, 389.525326
r, a, r, 1048576, 1, 1, 306.931046
r, a, s, 1048576, 15, 1, 460.778913
r, a, r, 1048576, 15, 1, 303.310908
r, a, s, 1048576, 15, 1, 463.785844
r, a, r, 1048576, 15, 1, 303.069625
r, a, s, 1048576, 31, 1, 435.140358
r, a, r, 1048576, 31, 1, 303.972845
r, a, s, 1048576, 31, 1, 437.123033
r, a, r, 1048576, 31, 1, 304.958368
r, a, s, 1048576, 62, 1, 445.501476
r, a, r, 1048576, 62, 1, 304.153183
r, a, s, 1048576, 62, 1, 459.010557
r, a, r, 1048576, 62, 1, 310.241200
