25600+0 records in
25600+0 records out
104857600 bytes (105 MB) copied, 0.215375 s, 487 MB/s
25600+0 records in
25600+0 records out
104857600 bytes (105 MB) copied, 0.43151 s, 243 MB/s
2015-08-13 16:20:01.467905
100+0 records in
100+0 records out
104857600 bytes (105 MB) copied, 0.254885 s, 411 MB/s
100+0 records in
100+0 records out
104857600 bytes (105 MB) copied, 0.30674 s, 342 MB/s
2015-08-13 16:20:04.194999
w, s, s, 4096, 1, 338.042597
w, s, r, 4096, 1, 321.720264
r, s, s, 4096, 1, 291.317680
r, s, r, 4096, 1, 33.541793
w, s, s, 4096, 1, 329.231892
w, s, r, 4096, 1, 337.926050
r, s, s, 4096, 1, 285.167768
r, s, r, 4096, 1, 33.608353
w, s, s, 1048576, 1, 322.355414
w, s, r, 1048576, 1, 338.640117
r, s, s, 1048576, 1, 288.808271
r, s, r, 1048576, 1, 275.637703
w, s, s, 1048576, 1, 329.052268
w, s, r, 1048576, 1, 350.294469
r, s, s, 1048576, 1, 275.095453
r, s, r, 1048576, 1, 269.018382
w, s, s, 4096, 1, 48.901033
w, s, r, 4096, 1, 48.845671
r, s, s, 4096, 1, 48.066837
r, s, r, 4096, 1, 23.307177
w, s, s, 4096, 1, 48.543688
w, s, r, 4096, 1, 48.019744
r, s, s, 4096, 1, 47.888482
r, s, r, 4096, 1, 23.238113
w, s, s, 1048576, 1, 320.986719
w, s, r, 1048576, 1, 327.712916
r, s, s, 1048576, 1, 322.125735
r, s, r, 1048576, 1, 314.963526
w, s, s, 1048576, 1, 316.481085
w, s, r, 1048576, 1, 318.752063
r, s, s, 1048576, 1, 307.857218
r, s, r, 1048576, 1, 309.994748
r, a, s, 4096, 1, 265.728406
r, a, r, 4096, 1, 31.399927
r, a, s, 4096, 1, 270.266749
r, a, r, 4096, 1, 33.334046
r, a, s, 4096, 15, 289.593319
r, a, r, 4096, 15, 33.916806
r, a, s, 4096, 15, 388.718055
r, a, r, 4096, 15, 38.226046
r, a, s, 4096, 31, 406.401980
r, a, r, 4096, 31, 38.448113
r, a, s, 4096, 31, 354.819340
r, a, r, 4096, 31, 38.379637
r, a, s, 4096, 62, 374.736349
r, a, r, 4096, 62, 38.305471
r, a, s, 4096, 62, 359.550239
r, a, r, 4096, 62, 38.345854
r, a, s, 1048576, 1, 329.110887
r, a, r, 1048576, 1, 310.370791
r, a, s, 1048576, 1, 360.419702
r, a, r, 1048576, 1, 309.871162
r, a, s, 1048576, 15, 405.361602
r, a, r, 1048576, 15, 306.430575
r, a, s, 1048576, 15, 380.083652
r, a, r, 1048576, 15, 306.849983
r, a, s, 1048576, 31, 362.851690
r, a, r, 1048576, 31, 306.442520
r, a, s, 1048576, 31, 375.688836
r, a, r, 1048576, 31, 307.856644
r, a, s, 1048576, 62, 376.925568
r, a, r, 1048576, 62, 306.233030
r, a, s, 1048576, 62, 395.750157
r, a, r, 1048576, 62, 309.595955
r, a, s, 4096, 1, 63.897848
r, a, r, 4096, 1, 38.231789
r, a, s, 4096, 1, 60.713102
r, a, r, 4096, 1, 38.234221
r, a, s, 4096, 15, 271.796633
r, a, r, 4096, 15, 38.559388
r, a, s, 4096, 15, 196.011304
r, a, r, 4096, 15, 38.554730
r, a, s, 4096, 31, 228.278439
r, a, r, 4096, 31, 38.273761
r, a, s, 4096, 31, 225.547993
r, a, r, 4096, 31, 38.114816
r, a, s, 4096, 62, 310.256186
r, a, r, 4096, 62, 38.013909
r, a, s, 4096, 62, 295.466263
r, a, r, 4096, 62, 38.070519
r, a, s, 1048576, 1, 393.935929
r, a, r, 1048576, 1, 309.326489
r, a, s, 1048576, 1, 392.311947
r, a, r, 1048576, 1, 311.011908
r, a, s, 1048576, 15, 462.590768
r, a, r, 1048576, 15, 306.416942
r, a, s, 1048576, 15, 462.517473
r, a, r, 1048576, 15, 308.701798
r, a, s, 1048576, 31, 421.271084
r, a, r, 1048576, 31, 305.210094
r, a, s, 1048576, 31, 448.350741
r, a, r, 1048576, 31, 306.472043
r, a, s, 1048576, 62, 429.593011
r, a, r, 1048576, 62, 302.374072
r, a, s, 1048576, 62, 423.307952
r, a, r, 1048576, 62, 304.813198
