25600+0 records in
25600+0 records out
104857600 bytes (105 MB) copied, 0.209675 s, 500 MB/s
25600+0 records in
25600+0 records out
104857600 bytes (105 MB) copied, 0.340992 s, 308 MB/s
2015-08-18 22:34:23.129926
100+0 records in
100+0 records out
104857600 bytes (105 MB) copied, 0.320785 s, 327 MB/s
100+0 records in
100+0 records out
104857600 bytes (105 MB) copied, 0.293652 s, 357 MB/s
2015-08-18 22:34:25.720197
w, s, s, 4096, 1, 0, 335.940271
w, s, r, 4096, 1, 0, 358.152503
r, s, s, 4096, 1, 0, 348.021489
r, s, r, 4096, 1, 0, 36.994536
w, s, s, 4096, 1, 0, 353.742353
w, s, r, 4096, 1, 0, 359.821771
r, s, s, 4096, 1, 0, 369.080591
r, s, r, 4096, 1, 0, 37.549740
w, s, s, 1048576, 1, 0, 360.279659
w, s, r, 1048576, 1, 0, 368.007759
r, s, s, 1048576, 1, 0, 368.693538
r, s, r, 1048576, 1, 0, 319.976041
w, s, s, 1048576, 1, 0, 363.134994
w, s, r, 1048576, 1, 0, 350.073038
r, s, s, 1048576, 1, 0, 327.548822
r, s, r, 1048576, 1, 0, 308.595122
w, s, s, 4096, 1, 1, 54.412385
w, s, r, 4096, 1, 1, 55.213060
r, s, s, 4096, 1, 1, 56.052640
r, s, r, 4096, 1, 1, 23.022921
w, s, s, 4096, 1, 1, 53.995152
w, s, r, 4096, 1, 1, 53.878239
r, s, s, 4096, 1, 1, 55.304094
r, s, r, 4096, 1, 1, 23.237400
w, s, s, 1048576, 1, 1, 409.776995
w, s, r, 1048576, 1, 1, 404.158705
r, s, s, 1048576, 1, 1, 387.894864
r, s, r, 1048576, 1, 1, 391.841263
w, s, s, 1048576, 1, 1, 414.559384
w, s, r, 1048576, 1, 1, 406.694789
r, s, s, 1048576, 1, 1, 383.323455
r, s, r, 1048576, 1, 1, 390.316530
r, a, s, 4096, 1, 0, 352.703405
r, a, r, 4096, 1, 0, 36.152606
r, a, s, 4096, 1, 0, 372.684196
r, a, r, 4096, 1, 0, 36.249769
r, a, s, 4096, 15, 0, 358.014109
r, a, r, 4096, 15, 0, 35.805056
r, a, s, 4096, 15, 0, 348.195842
r, a, r, 4096, 15, 0, 37.749804
r, a, s, 4096, 31, 0, 373.153211
r, a, r, 4096, 31, 0, 37.614287
r, a, s, 4096, 31, 0, 385.236456
r, a, r, 4096, 31, 0, 38.828119
r, a, s, 4096, 62, 0, 360.106511
r, a, r, 4096, 62, 0, 37.515449
r, a, s, 4096, 62, 0, 337.468299
r, a, r, 4096, 62, 0, 36.217214
r, a, s, 1048576, 1, 0, 326.356127
r, a, r, 1048576, 1, 0, 316.551355
r, a, s, 1048576, 1, 0, 336.536221
r, a, r, 1048576, 1, 0, 308.942133
r, a, s, 1048576, 15, 0, 397.535751
r, a, r, 1048576, 15, 0, 307.776935
r, a, s, 1048576, 15, 0, 357.774650
r, a, r, 1048576, 15, 0, 302.593444
r, a, s, 1048576, 31, 0, 397.561587
r, a, r, 1048576, 31, 0, 308.426716
r, a, s, 1048576, 31, 0, 387.246147
r, a, r, 1048576, 31, 0, 303.292560
r, a, s, 1048576, 62, 0, 416.829872
r, a, r, 1048576, 62, 0, 307.316562
r, a, s, 1048576, 62, 0, 386.334999
r, a, r, 1048576, 62, 0, 302.709649
r, a, s, 4096, 1, 1, 63.616753
r, a, r, 4096, 1, 1, 37.727002
r, a, s, 4096, 1, 1, 65.575342
r, a, r, 4096, 1, 1, 37.963882
r, a, s, 4096, 15, 1, 181.272345
r, a, r, 4096, 15, 1, 38.226322
r, a, s, 4096, 15, 1, 229.323419
r, a, r, 4096, 15, 1, 37.121988
r, a, s, 4096, 31, 1, 238.477739
r, a, r, 4096, 31, 1, 38.650685
r, a, s, 4096, 31, 1, 239.155464
r, a, r, 4096, 31, 1, 38.249349
r, a, s, 4096, 62, 1, 325.859056
r, a, r, 4096, 62, 1, 37.414203
r, a, s, 4096, 62, 1, 326.009566
r, a, r, 4096, 62, 1, 37.517958
r, a, s, 1048576, 1, 1, 390.179007
r, a, r, 1048576, 1, 1, 316.084141
r, a, s, 1048576, 1, 1, 384.064966
r, a, r, 1048576, 1, 1, 310.270707
r, a, s, 1048576, 15, 1, 477.253552
r, a, r, 1048576, 15, 1, 307.053648
r, a, s, 1048576, 15, 1, 471.734150
r, a, r, 1048576, 15, 1, 304.728937
r, a, s, 1048576, 31, 1, 467.933643
r, a, r, 1048576, 31, 1, 304.955205
r, a, s, 1048576, 31, 1, 471.766922
r, a, r, 1048576, 31, 1, 302.840756
r, a, s, 1048576, 62, 1, 466.966781
r, a, r, 1048576, 62, 1, 303.700569
r, a, s, 1048576, 62, 1, 457.053669
r, a, r, 1048576, 62, 1, 300.479307
