25600+0 records in
25600+0 records out
104857600 bytes (105 MB) copied, 0.217838 s, 481 MB/s
25600+0 records in
25600+0 records out
104857600 bytes (105 MB) copied, 0.388309 s, 270 MB/s
2015-08-15 17:46:21.730390
100+0 records in
100+0 records out
104857600 bytes (105 MB) copied, 0.273631 s, 383 MB/s
100+0 records in
100+0 records out
104857600 bytes (105 MB) copied, 0.308939 s, 339 MB/s
2015-08-15 17:46:24.459443
w, s, s, 4096, 1, 0, 339.410386
w, s, r, 4096, 1, 0, 316.439815
r, s, s, 4096, 1, 0, 290.330006
r, s, r, 4096, 1, 0, 33.517632
w, s, s, 4096, 1, 0, 338.151576
w, s, r, 4096, 1, 0, 337.496601
r, s, s, 4096, 1, 0, 282.361153
r, s, r, 4096, 1, 0, 33.522190
w, s, s, 1048576, 1, 0, 325.394134
w, s, r, 1048576, 1, 0, 350.036191
r, s, s, 1048576, 1, 0, 293.413536
r, s, r, 1048576, 1, 0, 275.433567
w, s, s, 1048576, 1, 0, 331.634556
w, s, r, 1048576, 1, 0, 349.858286
r, s, s, 1048576, 1, 0, 279.912278
r, s, r, 1048576, 1, 0, 273.306385
w, s, s, 4096, 1, 1, 47.114241
w, s, r, 4096, 1, 1, 48.188798
r, s, s, 4096, 1, 1, 48.380531
r, s, r, 4096, 1, 1, 23.295872
w, s, s, 4096, 1, 1, 47.586878
w, s, r, 4096, 1, 1, 48.733384
r, s, s, 4096, 1, 1, 48.181712
r, s, r, 4096, 1, 1, 23.231361
w, s, s, 1048576, 1, 1, 321.493589
w, s, r, 1048576, 1, 1, 318.992978
r, s, s, 1048576, 1, 1, 316.112037
r, s, r, 1048576, 1, 1, 326.225608
w, s, s, 1048576, 1, 1, 318.766915
w, s, r, 1048576, 1, 1, 321.171789
r, s, s, 1048576, 1, 1, 311.921524
r, s, r, 1048576, 1, 1, 313.516463
r, a, s, 4096, 1, 0, 260.108934
r, a, r, 4096, 1, 0, 31.811560
r, a, s, 4096, 1, 0, 265.662539
r, a, r, 4096, 1, 0, 33.131573
r, a, s, 4096, 15, 0, 285.970384
r, a, r, 4096, 15, 0, 33.943841
r, a, s, 4096, 15, 0, 324.197052
r, a, r, 4096, 15, 0, 38.763199
r, a, s, 4096, 31, 0, 399.395780
r, a, r, 4096, 31, 0, 38.404648
r, a, s, 4096, 31, 0, 399.793716
r, a, r, 4096, 31, 0, 38.143087
r, a, s, 4096, 62, 0, 330.540942
r, a, r, 4096, 62, 0, 38.303120
r, a, s, 4096, 62, 0, 334.754967
r, a, r, 4096, 62, 0, 38.441724
r, a, s, 1048576, 1, 0, 347.928060
r, a, r, 1048576, 1, 0, 310.129584
r, a, s, 1048576, 1, 0, 398.329985
r, a, r, 1048576, 1, 0, 313.825547
r, a, s, 1048576, 15, 0, 399.582692
r, a, r, 1048576, 15, 0, 311.786263
r, a, s, 1048576, 15, 0, 381.902118
r, a, r, 1048576, 15, 0, 309.077438
r, a, s, 1048576, 31, 0, 418.628279
r, a, r, 1048576, 31, 0, 307.812305
r, a, s, 1048576, 31, 0, 419.580031
r, a, r, 1048576, 31, 0, 308.221962
r, a, s, 1048576, 62, 0, 360.185345
r, a, r, 1048576, 62, 0, 308.999140
r, a, s, 1048576, 62, 0, 402.329798
r, a, r, 1048576, 62, 0, 311.168576
r, a, s, 4096, 1, 1, 58.982843
r, a, r, 4096, 1, 1, 37.840795
r, a, s, 4096, 1, 1, 61.670685
r, a, r, 4096, 1, 1, 38.220261
r, a, s, 4096, 15, 1, 213.695469
r, a, r, 4096, 15, 1, 38.533422
r, a, s, 4096, 15, 1, 223.251236
r, a, r, 4096, 15, 1, 38.062192
r, a, s, 4096, 31, 1, 235.940856
r, a, r, 4096, 31, 1, 38.413485
r, a, s, 4096, 31, 1, 240.172276
r, a, r, 4096, 31, 1, 38.138555
r, a, s, 4096, 62, 1, 318.597837
r, a, r, 4096, 62, 1, 38.415726
r, a, s, 4096, 62, 1, 322.327066
r, a, r, 4096, 62, 1, 38.155614
r, a, s, 1048576, 1, 1, 392.226236
r, a, r, 1048576, 1, 1, 312.866315
r, a, s, 1048576, 1, 1, 392.389353
r, a, r, 1048576, 1, 1, 313.162515
r, a, s, 1048576, 15, 1, 468.039513
r, a, r, 1048576, 15, 1, 308.624881
r, a, s, 1048576, 15, 1, 467.279865
r, a, r, 1048576, 15, 1, 309.871110
r, a, s, 1048576, 31, 1, 428.646966
r, a, r, 1048576, 31, 1, 310.033468
r, a, s, 1048576, 31, 1, 429.773646
r, a, r, 1048576, 31, 1, 308.653489
r, a, s, 1048576, 62, 1, 432.966359
r, a, r, 1048576, 62, 1, 309.630307
r, a, s, 1048576, 62, 1, 447.779492
r, a, r, 1048576, 62, 1, 309.016054
