25600+0 records in
25600+0 records out
104857600 bytes (105 MB) copied, 0.211367 s, 496 MB/s
25600+0 records in
25600+0 records out
104857600 bytes (105 MB) copied, 0.419226 s, 250 MB/s
2015-08-13 03:42:52.096587
100+0 records in
100+0 records out
104857600 bytes (105 MB) copied, 0.264164 s, 397 MB/s
100+0 records in
100+0 records out
104857600 bytes (105 MB) copied, 0.310215 s, 338 MB/s
2015-08-13 03:42:54.831695
w, s, s, 4096, 1, 0, 328.657994
w, s, r, 4096, 1, 0, 332.162456
r, s, s, 4096, 1, 0, 292.299109
r, s, r, 4096, 1, 0, 33.226001
w, s, s, 4096, 1, 0, 313.348493
w, s, r, 4096, 1, 0, 318.834262
r, s, s, 4096, 1, 0, 308.046252
r, s, r, 4096, 1, 0, 33.514582
w, s, s, 1048576, 1, 0, 317.819163
w, s, r, 1048576, 1, 0, 360.220577
r, s, s, 1048576, 1, 0, 299.196628
r, s, r, 1048576, 1, 0, 273.717271
w, s, s, 1048576, 1, 0, 328.965889
w, s, r, 1048576, 1, 0, 331.138994
r, s, s, 1048576, 1, 0, 271.473199
r, s, r, 1048576, 1, 0, 268.380102
w, s, s, 4096, 1, 1, 49.599696
w, s, r, 4096, 1, 1, 50.258888
r, s, s, 4096, 1, 1, 50.507602
r, s, r, 4096, 1, 1, 24.213770
w, s, s, 4096, 1, 1, 49.814165
w, s, r, 4096, 1, 1, 50.218391
r, s, s, 4096, 1, 1, 49.616047
r, s, r, 4096, 1, 1, 24.314620
w, s, s, 1048576, 1, 1, 334.674157
w, s, r, 1048576, 1, 1, 332.957894
r, s, s, 1048576, 1, 1, 332.918588
r, s, r, 1048576, 1, 1, 326.292838
w, s, s, 1048576, 1, 1, 331.064357
w, s, r, 1048576, 1, 1, 333.718187
r, s, s, 1048576, 1, 1, 333.010674
r, s, r, 1048576, 1, 1, 340.732824
r, a, s, 4096, 1, 0, 350.957423
r, a, r, 4096, 1, 0, 35.069579
r, a, s, 4096, 1, 0, 329.236187
r, a, r, 4096, 1, 0, 35.429727
r, a, s, 4096, 15, 0, 338.012413
r, a, r, 4096, 15, 0, 35.672597
r, a, s, 4096, 15, 0, 347.730934
r, a, r, 4096, 15, 0, 35.235350
r, a, s, 4096, 31, 0, 347.332808
r, a, r, 4096, 31, 0, 34.868059
r, a, s, 4096, 31, 0, 336.885057
r, a, r, 4096, 31, 0, 34.855981
r, a, s, 4096, 62, 0, 343.185077
r, a, r, 4096, 62, 0, 35.138987
r, a, s, 4096, 62, 0, 347.093167
r, a, r, 4096, 62, 0, 35.218842
r, a, s, 1048576, 1, 0, 318.714579
r, a, r, 1048576, 1, 0, 283.449283
r, a, s, 1048576, 1, 0, 316.996905
r, a, r, 1048576, 1, 0, 290.681588
r, a, s, 1048576, 15, 0, 326.772302
r, a, r, 1048576, 15, 0, 283.625944
r, a, s, 1048576, 15, 0, 351.270556
r, a, r, 1048576, 15, 0, 282.543843
r, a, s, 1048576, 31, 0, 362.559131
r, a, r, 1048576, 31, 0, 282.719197
r, a, s, 1048576, 31, 0, 344.294518
r, a, r, 1048576, 31, 0, 284.501989
r, a, s, 1048576, 62, 0, 359.719507
r, a, r, 1048576, 62, 0, 296.367149
r, a, s, 1048576, 62, 0, 337.985103
r, a, r, 1048576, 62, 0, 281.856762
r, a, s, 4096, 1, 1, 55.721722
r, a, r, 4096, 1, 1, 34.932436
r, a, s, 4096, 1, 1, 53.235020
r, a, r, 4096, 1, 1, 34.948832
r, a, s, 4096, 15, 1, 249.348291
r, a, r, 4096, 15, 1, 35.466274
r, a, s, 4096, 15, 1, 203.658200
r, a, r, 4096, 15, 1, 35.255323
r, a, s, 4096, 31, 1, 201.922675
r, a, r, 4096, 31, 1, 35.989622
r, a, s, 4096, 31, 1, 226.363856
r, a, r, 4096, 31, 1, 37.630876
r, a, s, 4096, 62, 1, 316.939356
r, a, r, 4096, 62, 1, 37.298172
r, a, s, 4096, 62, 1, 306.972817
r, a, r, 4096, 62, 1, 37.865235
r, a, s, 1048576, 1, 1, 391.372500
r, a, r, 1048576, 1, 1, 309.917654
r, a, s, 1048576, 1, 1, 393.957279
r, a, r, 1048576, 1, 1, 314.719666
r, a, s, 1048576, 15, 1, 462.532696
r, a, r, 1048576, 15, 1, 310.730798
r, a, s, 1048576, 15, 1, 462.203772
r, a, r, 1048576, 15, 1, 305.640963
r, a, s, 1048576, 31, 1, 421.603959
r, a, r, 1048576, 31, 1, 305.839898
r, a, s, 1048576, 31, 1, 428.142717
r, a, r, 1048576, 31, 1, 305.884094
r, a, s, 1048576, 62, 1, 432.565767
r, a, r, 1048576, 62, 1, 303.124139
r, a, s, 1048576, 62, 1, 432.903618
r, a, r, 1048576, 62, 1, 305.918275
