25600+0 records in
25600+0 records out
104857600 bytes (105 MB) copied, 0.206659 s, 507 MB/s
25600+0 records in
25600+0 records out
104857600 bytes (105 MB) copied, 0.313004 s, 335 MB/s
2015-08-18 21:16:38.987348
100+0 records in
100+0 records out
104857600 bytes (105 MB) copied, 0.252295 s, 416 MB/s
100+0 records in
100+0 records out
104857600 bytes (105 MB) copied, 0.282898 s, 371 MB/s
2015-08-18 21:16:41.544165
w, s, s, 4096, 1, 0, 369.713061
w, s, r, 4096, 1, 0, 363.818244
r, s, s, 4096, 1, 0, 376.386921
r, s, r, 4096, 1, 0, 39.079107
w, s, s, 4096, 1, 0, 360.983226
w, s, r, 4096, 1, 0, 364.633818
r, s, s, 4096, 1, 0, 399.344157
r, s, r, 4096, 1, 0, 38.423929
w, s, s, 1048576, 1, 0, 371.643266
w, s, r, 1048576, 1, 0, 391.075545
r, s, s, 1048576, 1, 0, 301.435192
r, s, r, 1048576, 1, 0, 289.235904
w, s, s, 1048576, 1, 0, 381.111079
w, s, r, 1048576, 1, 0, 387.878413
r, s, s, 1048576, 1, 0, 364.222442
r, s, r, 1048576, 1, 0, 323.424282
w, s, s, 4096, 1, 1, 54.439713
w, s, r, 4096, 1, 1, 57.468506
r, s, s, 4096, 1, 1, 56.901400
r, s, r, 4096, 1, 1, 25.815015
w, s, s, 4096, 1, 1, 58.602124
w, s, r, 4096, 1, 1, 59.605773
r, s, s, 4096, 1, 1, 60.065945
r, s, r, 4096, 1, 1, 26.097889
w, s, s, 1048576, 1, 1, 400.969592
w, s, r, 1048576, 1, 1, 415.972669
r, s, s, 1048576, 1, 1, 379.476955
r, s, r, 1048576, 1, 1, 388.546183
w, s, s, 1048576, 1, 1, 405.093919
w, s, r, 1048576, 1, 1, 407.355115
r, s, s, 1048576, 1, 1, 388.024749
r, s, r, 1048576, 1, 1, 379.509203
r, a, s, 4096, 1, 0, 375.342594
r, a, r, 4096, 1, 0, 38.718267
r, a, s, 4096, 1, 0, 367.736415
r, a, r, 4096, 1, 0, 38.913740
r, a, s, 4096, 15, 0, 427.414346
r, a, r, 4096, 15, 0, 39.112686
r, a, s, 4096, 15, 0, 430.666419
r, a, r, 4096, 15, 0, 39.288753
r, a, s, 4096, 31, 0, 410.771670
r, a, r, 4096, 31, 0, 38.821050
r, a, s, 4096, 31, 0, 421.202101
r, a, r, 4096, 31, 0, 38.705592
r, a, s, 4096, 62, 0, 429.444674
r, a, r, 4096, 62, 0, 38.849704
r, a, s, 4096, 62, 0, 426.614949
r, a, r, 4096, 62, 0, 38.969166
r, a, s, 1048576, 1, 0, 424.303199
r, a, r, 1048576, 1, 0, 310.141374
r, a, s, 1048576, 1, 0, 358.244857
r, a, r, 1048576, 1, 0, 310.880281
r, a, s, 1048576, 15, 0, 412.437008
r, a, r, 1048576, 15, 0, 302.483385
r, a, s, 1048576, 15, 0, 430.092384
r, a, r, 1048576, 15, 0, 298.846987
r, a, s, 1048576, 31, 0, 421.123526
r, a, r, 1048576, 31, 0, 300.651726
r, a, s, 1048576, 31, 0, 431.583067
r, a, r, 1048576, 31, 0, 298.925345
r, a, s, 1048576, 62, 0, 439.379958
r, a, r, 1048576, 62, 0, 299.089066
r, a, s, 1048576, 62, 0, 436.023280
r, a, r, 1048576, 62, 0, 301.034741
r, a, s, 4096, 1, 1, 66.249895
r, a, r, 4096, 1, 1, 38.772498
r, a, s, 4096, 1, 1, 62.531476
r, a, r, 4096, 1, 1, 38.833429
r, a, s, 4096, 15, 1, 197.859950
r, a, r, 4096, 15, 1, 38.986025
r, a, s, 4096, 15, 1, 176.222148
r, a, r, 4096, 15, 1, 39.161498
r, a, s, 4096, 31, 1, 228.890946
r, a, r, 4096, 31, 1, 39.017466
r, a, s, 4096, 31, 1, 229.439922
r, a, r, 4096, 31, 1, 38.933525
r, a, s, 4096, 62, 1, 329.444394
r, a, r, 4096, 62, 1, 38.889134
r, a, s, 4096, 62, 1, 330.951999
r, a, r, 4096, 62, 1, 38.665326
r, a, s, 1048576, 1, 1, 386.122041
r, a, r, 1048576, 1, 1, 313.840985
r, a, s, 1048576, 1, 1, 384.886945
r, a, r, 1048576, 1, 1, 310.476493
r, a, s, 1048576, 15, 1, 474.262279
r, a, r, 1048576, 15, 1, 300.389860
r, a, s, 1048576, 15, 1, 471.660818
r, a, r, 1048576, 15, 1, 301.511839
r, a, s, 1048576, 31, 1, 476.337789
r, a, r, 1048576, 31, 1, 297.570836
r, a, s, 1048576, 31, 1, 474.601437
r, a, r, 1048576, 31, 1, 301.276846
r, a, s, 1048576, 62, 1, 474.306302
r, a, r, 1048576, 62, 1, 308.294211
r, a, s, 1048576, 62, 1, 473.464355
r, a, r, 1048576, 62, 1, 298.786646
