25600+0 records in
25600+0 records out
104857600 bytes (105 MB) copied, 0.205974 s, 509 MB/s
25600+0 records in
25600+0 records out
104857600 bytes (105 MB) copied, 0.306952 s, 342 MB/s
100+0 records in
100+0 records out
104857600 bytes (105 MB) copied, 0.28034 s, 374 MB/s
100+0 records in
100+0 records out
104857600 bytes (105 MB) copied, 0.275783 s, 380 MB/s
w, s, s, 4096, 1, 380.208427
w, s, r, 4096, 1, 373.391548
r, s, s, 4096, 1, 301.147057
r, s, r, 4096, 1, 35.719620
w, s, s, 4096, 1, 367.023739
w, s, r, 4096, 1, 381.411664
r, s, s, 4096, 1, 328.528172
r, s, r, 4096, 1, 38.156058
w, s, s, 1048576, 1, 377.399462
w, s, r, 1048576, 1, 389.518218
r, s, s, 1048576, 1, 340.909242
r, s, r, 1048576, 1, 327.834887
w, s, s, 1048576, 1, 388.105386
w, s, r, 1048576, 1, 388.600456
r, s, s, 1048576, 1, 328.292245
r, s, r, 1048576, 1, 315.902700
w, s, s, 4096, 1, 56.675137
w, s, r, 4096, 1, 58.999142
r, s, s, 4096, 1, 60.680118
r, s, r, 4096, 1, 24.149518
w, s, s, 4096, 1, 59.142257
w, s, r, 4096, 1, 58.191401
r, s, s, 4096, 1, 60.256422
r, s, r, 4096, 1, 24.472204
w, s, s, 1048576, 1, 413.902085
w, s, r, 1048576, 1, 415.232332
r, s, s, 1048576, 1, 385.791957
r, s, r, 1048576, 1, 387.744427
w, s, s, 1048576, 1, 410.776041
w, s, r, 1048576, 1, 412.282033
r, s, s, 1048576, 1, 390.139443
r, s, r, 1048576, 1, 390.976009
r, a, s, 4096, 1, 327.406157
r, a, r, 4096, 1, 37.579284
r, a, s, 4096, 1, 335.651278
r, a, r, 4096, 1, 37.790809
r, a, s, 4096, 15, 368.105448
r, a, r, 4096, 15, 37.943011
r, a, s, 4096, 15, 336.794869
r, a, r, 4096, 15, 38.073435
r, a, s, 4096, 31, 329.308753
r, a, r, 4096, 31, 38.632918
r, a, s, 4096, 31, 350.931829
r, a, r, 4096, 31, 38.229310
r, a, s, 4096, 62, 336.298636
r, a, r, 4096, 62, 38.152091
r, a, s, 4096, 62, 335.351934
r, a, r, 4096, 62, 38.395352
r, a, s, 1048576, 1, 337.301224
r, a, r, 1048576, 1, 314.513133
r, a, s, 1048576, 1, 350.880655
r, a, r, 1048576, 1, 311.984566
r, a, s, 1048576, 15, 350.580126
r, a, r, 1048576, 15, 308.484777
r, a, s, 1048576, 15, 381.894540
r, a, r, 1048576, 15, 312.169268
r, a, s, 1048576, 31, 357.741304
r, a, r, 1048576, 31, 309.975006
r, a, s, 1048576, 31, 395.479665
r, a, r, 1048576, 31, 309.732885
r, a, s, 1048576, 62, 395.222755
r, a, r, 1048576, 62, 309.006797
r, a, s, 1048576, 62, 387.631196
r, a, r, 1048576, 62, 309.880083
r, a, s, 4096, 1, 70.634816
r, a, r, 4096, 1, 38.142427
r, a, s, 4096, 1, 68.190323
r, a, r, 4096, 1, 37.934097
r, a, s, 4096, 15, 196.964993
r, a, r, 4096, 15, 37.956953
r, a, s, 4096, 15, 193.104009
r, a, r, 4096, 15, 37.902755
r, a, s, 4096, 31, 230.097542
r, a, r, 4096, 31, 38.612190
r, a, s, 4096, 31, 230.566387
r, a, r, 4096, 31, 37.987544
r, a, s, 4096, 62, 330.072319
r, a, r, 4096, 62, 38.015899
r, a, s, 4096, 62, 330.384859
r, a, r, 4096, 62, 38.446446
r, a, s, 1048576, 1, 390.303226
r, a, r, 1048576, 1, 312.610230
r, a, s, 1048576, 1, 389.189718
r, a, r, 1048576, 1, 315.353335
r, a, s, 1048576, 15, 478.306490
r, a, r, 1048576, 15, 310.927610
r, a, s, 1048576, 15, 478.206563
r, a, r, 1048576, 15, 309.619515
r, a, s, 1048576, 31, 472.068447
r, a, r, 1048576, 31, 308.738413
r, a, s, 1048576, 31, 468.112400
r, a, r, 1048576, 31, 308.335152
r, a, s, 1048576, 62, 478.699888
r, a, r, 1048576, 62, 310.747483
r, a, s, 1048576, 62, 473.676401
r, a, r, 1048576, 62, 308.213980
