25600+0 records in
25600+0 records out
104857600 bytes (105 MB) copied, 0.206304 s, 508 MB/s
25600+0 records in
25600+0 records out
104857600 bytes (105 MB) copied, 0.302976 s, 346 MB/s
2015-07-31 22:26:29.376997
100+0 records in
100+0 records out
104857600 bytes (105 MB) copied, 0.286207 s, 366 MB/s
100+0 records in
100+0 records out
104857600 bytes (105 MB) copied, 0.276708 s, 379 MB/s
2015-07-31 22:26:31.922716
w, s, s, 4096, 1, 379.695502
w, s, r, 4096, 1, 371.049123
r, s, s, 4096, 1, 295.538427
r, s, r, 4096, 1, 32.038680
w, s, s, 4096, 1, 367.262747
w, s, r, 4096, 1, 367.840186
r, s, s, 4096, 1, 275.244385
r, s, r, 4096, 1, 29.948994
w, s, s, 1048576, 1, 376.713800
w, s, r, 1048576, 1, 377.847450
r, s, s, 1048576, 1, 276.814023
r, s, r, 1048576, 1, 265.471307
w, s, s, 1048576, 1, 372.175861
w, s, r, 1048576, 1, 381.416709
r, s, s, 1048576, 1, 272.498115
r, s, r, 1048576, 1, 263.832914
w, s, s, 4096, 1, 50.615516
w, s, r, 4096, 1, 52.611461
r, s, s, 4096, 1, 52.221775
r, s, r, 4096, 1, 21.325576
w, s, s, 4096, 1, 52.467619
w, s, r, 4096, 1, 52.383973
r, s, s, 4096, 1, 51.175152
r, s, r, 4096, 1, 22.052570
w, s, s, 1048576, 1, 378.139804
w, s, r, 1048576, 1, 367.870056
r, s, s, 1048576, 1, 342.049189
r, s, r, 1048576, 1, 341.873046
w, s, s, 1048576, 1, 376.636314
w, s, r, 1048576, 1, 372.276298
r, s, s, 1048576, 1, 339.707888
r, s, r, 1048576, 1, 344.693873
r, a, s, 4096, 1, 295.379349
r, a, r, 4096, 1, 31.925754
r, a, s, 4096, 1, 305.976852
r, a, r, 4096, 1, 31.774131
r, a, s, 4096, 15, 300.132075
r, a, r, 4096, 15, 30.794858
r, a, s, 4096, 15, 300.059212
r, a, r, 4096, 15, 35.799134
r, a, s, 4096, 31, 401.302034
r, a, r, 4096, 31, 38.111544
r, a, s, 4096, 31, 362.499211
r, a, r, 4096, 31, 38.430375
r, a, s, 4096, 62, 408.485591
r, a, r, 4096, 62, 38.104982
r, a, s, 4096, 62, 340.462338
r, a, r, 4096, 62, 38.662760
r, a, s, 1048576, 1, 338.286781
r, a, r, 1048576, 1, 320.418914
r, a, s, 1048576, 1, 342.607887
r, a, r, 1048576, 1, 318.224144
r, a, s, 1048576, 15, 388.723438
r, a, r, 1048576, 15, 316.035262
r, a, s, 1048576, 15, 345.113433
r, a, r, 1048576, 15, 313.225144
r, a, s, 1048576, 31, 391.880935
r, a, r, 1048576, 31, 311.389989
r, a, s, 1048576, 31, 400.282924
r, a, r, 1048576, 31, 312.413679
r, a, s, 1048576, 62, 362.775037
r, a, r, 1048576, 62, 315.311514
r, a, s, 1048576, 62, 341.920952
r, a, r, 1048576, 62, 311.773686
r, a, s, 4096, 1, 67.113547
r, a, r, 4096, 1, 37.468032
r, a, s, 4096, 1, 65.986237
r, a, r, 4096, 1, 37.735799
r, a, s, 4096, 15, 187.078032
r, a, r, 4096, 15, 37.988308
r, a, s, 4096, 15, 181.777077
r, a, r, 4096, 15, 38.698718
r, a, s, 4096, 31, 228.588325
r, a, r, 4096, 31, 38.153392
r, a, s, 4096, 31, 232.356521
r, a, r, 4096, 31, 38.167105
r, a, s, 4096, 62, 327.009287
r, a, r, 4096, 62, 37.326655
r, a, s, 4096, 62, 327.385708
r, a, r, 4096, 62, 38.124438
r, a, s, 1048576, 1, 391.651793
r, a, r, 1048576, 1, 321.024128
r, a, s, 1048576, 1, 392.277638
r, a, r, 1048576, 1, 319.034511
r, a, s, 1048576, 15, 483.240985
r, a, r, 1048576, 15, 314.707871
r, a, s, 1048576, 15, 483.556713
r, a, r, 1048576, 15, 313.958167
r, a, s, 1048576, 31, 482.549647
r, a, r, 1048576, 31, 315.661055
r, a, s, 1048576, 31, 482.783763
r, a, r, 1048576, 31, 313.650319
r, a, s, 1048576, 62, 482.578124
r, a, r, 1048576, 62, 316.052832
r, a, s, 1048576, 62, 482.202963
r, a, r, 1048576, 62, 314.351689
